gen_porosity,gen_radius,gen_orientation,porosity,tort,perm_x,perm_y,perm_z
0.801358418,0.9300221678,0.8051815325555555,0.799133599,0.908112310753708,0.684668380953363,0.6753454528013781,0.6880381402258587
0.313488767,0.2492338336,0.34358838244444445,0.314568639,0.5159819477090386,0.8840812961010421,0.9303118014142229,0.9271052209891842
0.711871353,0.8272307590000001,0.9445260565555555,0.695849717,0.8206308634229059,0.7193656656971579,0.7316462756490154,0.7221788443501216
0.786722524,0.1660409353,0.8306962112222221,0.786838651,0.7130544561620548,0.8222946005988032,0.8277112517088312,0.8280144268922126
0.624029558,0.8201632508,0.1381279848888889,0.635264158,0.9731968630661341,0.6975627704952313,0.7751391998019929,0.7639780350139418
0.44611782,0.6073763053000001,0.7044914866666667,0.45541954,0.6417287206574516,0.7880682035137887,0.8108274374509659,0.8180017142866963
0.428740862,0.2063351627,0.448759279,0.429192364,0.6439515633311594,0.8536066898393845,0.8893389199953433,0.8865046309036316
0.794344963,0.9322989680999999,0.48060099055555555,0.802894652,0.955245299078596,0.7016219207783714,0.6907673828696909,0.7186594607973297
0.409922044,0.3910277983,0.27733046966666663,0.412799597,0.7722013195990822,0.8295798332821808,0.8934139662157924,0.8888364698073363
0.357420879,0.2667667063,0.10575694214444445,0.356546998,0.822725117045359,0.8592940193133833,0.947034130222722,0.9407132198329127
0.745483882,0.930769025,0.23249932455555558,0.741813719,0.9740041876394484,0.6715428860700204,0.7252950712529433,0.7153658037188055
0.919705675,0.5806108299,0.3161126544444444,0.918952465,0.9880203822953391,0.6006440763474932,0.6618745328462583,0.6881595364853005
0.302566373,0.2295813519,0.5708047122222223,0.301425576,0.34800532059070555,0.8948338800108516,0.9217875821058483,0.9208319519442357
0.632924971,0.9525691105,0.09747829196666667,0.626817763,0.9831727332143977,0.6934139662157924,0.7659636659862258,0.7752621425152175
0.828203625,0.2717558185,0.004970095722222222,0.829112947,0.9988036459772959,0.7509600733534546,0.8490121451326975,0.8447746931040842
0.698141943,0.5622898849,0.6153751004444444,0.674761772,0.8473799525379777,0.7434951560571925,0.7664139544628547,0.7656084104192213
0.769140956,0.836654649,0.111963246,0.769332111,0.9873065472538617,0.6647077481543193,0.731374414820986,0.7417398934757026
0.489719444,0.6066982993,0.2632070343333333,0.487144649,0.88364554125286,0.763728797043315,0.8339092204110484,0.8319241277530642
0.89655318,0.3774616267,0.19998157644444448,0.895871401,0.9899688760418164,0.6924810762186843,0.7432086932846822,0.7321977773800813
0.764474259,0.259526437,0.8977066496666667,0.762960494,0.8266833225279347,0.7799313336224013,0.7848075530257551,0.7910974061086521
